Provider_Name,Provider_Cat,Low_Cost,Med_Cost,High_Cost,VHigh_Cost,State,Child_Pov_LVL,High_School_Grad_Perc,Med_Age,Med_Fam_Income,Med_HHold_Income,Perc_NonEnglish,Perc_Veterans,Pov_LVL,Population_Total,Perc_Pop_Under18,Perc_Pop_18_24,Perc_Pop_25_44,Perc_Pop_45_64,Perc_Pop_Over65,Male_per_100_Females_All,Male_per_100_Females_Over18,Housing_Units,Area_Total,Water_Area,Land_Area,Pop_Density,Housing_Density,Perc_White,Perc_Black,Perc_Native,Perc_Asian,Perc_Islander,Perc_Other,Perc_MultiRace,Perc_Latin,Perc_WhiteAlone
ABBEVILLE GENERAL HOSPITAL,Med,0,1,0,0,Louisiana,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ABBOTT NORTHWESTERN HOSPITAL,Med,0,1,0,0,Minnesota,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0
ABILENE REGIONAL MEDICAL CENTER,Low,1,0,0,0,Texas,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
ABRAZO ARROWHEAD CAMPUS,Med,0,1,0,0,Arizona,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0
ABRAZO CENTRAL CAMPUS,Med,0,1,0,0,Arizona,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0
ABRAZO MARYVALE CAMPUS,High,0,0,1,0,Arizona,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0
ABRAZO SCOTTSDALE CAMPUS,Med,0,1,0,0,Arizona,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0
ABRAZO WEST CAMPUS,Med,0,1,0,0,Arizona,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
ACADIA GENERAL HOSPITAL,Med,0,1,0,0,Louisiana,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ADCARE HOSPITAL OF WORCESTER INC,Med,0,1,0,0,Massachusetts,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
ADENA REGIONAL MEDICAL CENTER,Low,1,0,0,0,Ohio,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ADIRONDACK MEDICAL CENTER,Med,0,1,0,0,New York,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ADVANCED SURGICAL HOSPITAL,Low,1,0,0,0,Pennsylvania,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
ADVENTIST BOLINGBROOK HOSPITAL,Med,0,1,0,0,Illinois,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0
ADVENTIST GLENOAKS,Med,0,1,0,0,Illinois,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,High,0,0,1,0,Maryland,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL,High,0,0,1,0,Maryland,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0
ADVENTIST HINSDALE HOSPITAL,Med,0,1,0,0,Illinois,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,Med,0,1,0,0,Illinois,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
ADVENTIST MEDICAL CENTER,Med,0,1,0,0,California,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0
ADVENTIST MEDICAL CENTER,Med,0,1,0,0,Oregon,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1
ADVENTIST MEDICAL CENTER - REEDLEY,High,0,0,1,0,California,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
ADVOCATE BROMENN MEDICAL CENTER,Med,0,1,0,0,Illinois,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,High,0,0,1,0,Illinois,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
ADVOCATE CONDELL MEDICAL CENTER,Med,0,1,0,0,Illinois,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
ADVOCATE GOOD SAMARITAN HOSPITAL,Med,0,1,0,0,Illinois,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1
ADVOCATE GOOD SHEPHERD HOSPITAL,Med,0,1,0,0,Illinois,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,High,0,0,1,0,Illinois,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0
ADVOCATE LUTHERAN GENERAL HOSPITAL,High,0,0,1,0,Illinois,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
ADVOCATE SOUTH SUBURBAN HOSPITAL,Med,0,1,0,0,Illinois,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
ADVOCATE TRINITY HOSPITAL,Med,0,1,0,0,Illinois,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0
AFFINITY MEDICAL CENTER,Low,1,0,0,0,Ohio,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AHMC ANAHEIM REGIONAL MEDICAL CENTER,Med,0,1,0,0,California,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
AIKEN REGIONAL MEDICAL CENTER,Med,0,1,0,0,South Carolina,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AKRON GENERAL MEDICAL CENTER,Med,0,1,0,0,Ohio,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
ALAMANCE REGIONAL MEDICAL CENTER,Med,0,1,0,0,North Carolina,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
ALAMEDA HOSPITAL,High,0,0,1,0,California,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0
ALBANY MEDICAL CENTER HOSPITAL,High,0,0,1,0,New York,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
ALBANY MEMORIAL HOSPITAL,Low,1,0,0,0,New York,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
ALBERT EINSTEIN MEDICAL CENTER,Very High,0,0,0,1,Pennsylvania,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
ALEXIAN BROTHERS MEDICAL CENTER 1,Med,0,1,0,0,Illinois,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
ALHAMBRA HOSPITAL MEDICAL CENTER,High,0,0,1,0,California,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
ALICE HYDE MEDICAL CENTER,Med,0,1,0,0,New York,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ALLEGHENY GENERAL HOSPITAL,High,0,0,1,0,Pennsylvania,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1
ALLEGIANCE HEALTH,Med,0,1,0,0,Michigan,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1
ALLEN HOSPITAL,Low,1,0,0,0,Iowa,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
ALLEN PARISH HOSPITAL,Med,0,1,0,0,Louisiana,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
ALLIANCE COMMUNITY HOSPITAL,Low,1,0,0,0,Ohio,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ALLIANCE HEALTH CENTER,Very High,0,0,0,1,Mississippi,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALLIANCE HEALTHCARE SYSTEM,Med,0,1,0,0,Mississippi,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALLIANCEHEALTH BLACKWELL,Low,1,0,0,0,Oklahoma,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ALLIANCEHEALTH CLINTON,Low,1,0,0,0,Oklahoma,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
